course_code,facility_code,course_name,hol,par,course_type,course_architect,open_date,guest_policy,weekday_price,weekend_price,twilight_price,fairway,green,currency
USA-AL-00075-01,USA-AL-00075,Green Briar,18,54,Parkland,Tom Willis,1990,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00077-01,USA-AL-00077,Founders,18,72,Parkland,Bob Cupp,1991,Closed,~,~,~,N/D,N/D,USD
USA-AL-00077-02,USA-AL-00077,Legacy,18,72,Parkland,Rees Jones,2000,Closed,~,~,~,N/D,N/D,USD
USA-AL-00078-01,USA-AL-00078,Gulf,18,64,Parkland,A. J. Stewart,1996,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00079-01,USA-AL-00079,Gulf Pines,18,71,Parkland,Marv Ginn,1970,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00080-01,USA-AL-00080,Gulf State Park,18,72,Parkland,Earl Stone,1972,Open,24.99,24.99,24.99,N/D,N/D,USD
USA-AL-00081-01,USA-AL-00081,Gunters Landing,18,72,Parkland,Jimmy Kennamer,1992,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00084-01,USA-AL-00084,Headland,9,36,Parkland,N/D,1961,Open,14,18,18,N/D,N/D,USD
USA-AL-00086-01,USA-AL-00086,Heritage,18,71,Parkland,Robert White,1986,Open,35,42,42,N/D,N/D,USD
USA-AL-00087-01,USA-AL-00087,Heron Lakes,18,72,Parkland,Chic Adams,1962,Closed,~,~,~,N/D,N/D,USD
USA-AL-00088-01,USA-AL-00088,Hidden Meadows,18,72,Parkland,Mike Young,1996,Open,32,40,27,N/D,N/D,USD
USA-AL-00090-01,USA-AL-00090,High Pointe,18,70,Parkland,N/D,1974,Open,23,23,23,N/D,N/D,USD
USA-AL-00091-01,USA-AL-00091,Highland Park,18,70,Parkland,Bob Cupp,1998,Open,42,51,42,N/D,N/D,USD
USA-AL-00092-01,USA-AL-00092,Holly Hills,9,36,Parkland,Earl Stone,1966,Open,9,9,9,N/D,N/D,USD
USA-AL-00093-01,USA-AL-00093,Hoover,18,72,Parkland,George Cobb,1962,Closed,50,70,70,N/D,N/D,USD
USA-AL-00094-01,USA-AL-00094,Horse Creek,18,72,Parkland,Robert Kirk,2000,Open,24,30,30,N/D,N/D,USD
USA-AL-00095-01,USA-AL-00095,Huntsville,18,71,Parkland,Robert B Harris/R-John LaFoy,1925/R-1958,Closed,50,50,50,N/D,N/D,USD
USA-AL-00096-01,USA-AL-00096,Indian Hills,18,71,Parkland,Leon Howard,1976,Closed,65,65,65,N/D,N/D,USD
USA-AL-00097-01,USA-AL-00097,Indian Oaks,18,72,Parkland,Willard Byrd,1976,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00098-01,USA-AL-00098,Indian Pines,18,71,Parkland,N/D,1946,Open,15,33,33,N/D,N/D,USD
USA-AL-00099-01,USA-AL-00099,Inverness,18,71,Parkland,George Cobb,1973,Closed,~,~,~,N/D,N/D,USD
USA-AL-00101-01,USA-AL-00101,Joe Wheeler State Park,18,72,Parkland,Earl Stone,1974,Open,17,20,20,N/D,N/D,USD
USA-AL-00102-01,USA-AL-00102,Kiva Dunes,18,72,Parkland,Jerry Pate,1995,Open,79,79,79,N/D,N/D,USD
USA-AL-00104-01,USA-AL-00104,Lagoon Park,18,72,Parkland,Charles Graves,1978,Open,35,39,39,N/D,N/D,USD
USA-AL-00105-01,USA-AL-00105,Lake Guntersville State Park,18,72,Parkland,Earl Stone,1972,Open,21.6,27.6,27.6,N/D,N/D,USD
USA-AL-00106-01,USA-AL-00106,Lakepoint,18,72,Parkland,Thomas H Nicol,1960,Open,10,15,15,N/D,N/D,USD
USA-AL-00108-01,USA-AL-00108,Lakeview,18,0,Parkland,N/D,1972,Open,N/D,N/D,N/D,,,USD
USA-AL-00109-01,USA-AL-00109,Lakewinds,18,70,Parkland,Willis Fuller,1966,Open,30,39,39,N/D,N/D,USD
USA-AL-00110-01,USA-AL-00110,Lakewood,18,72,Parkland,Ron Garl,1962,Open,14,20,20,N/D,N/D,USD
USA-AL-00111-01,USA-AL-00111,Lil Mole,18,70,Parkland,N/D,1999,Open,22.5,28.5,28.5,N/D,N/D,USD
